OBJECTID_1,OBJECTID,ROADWAY,BEGIN_POST,END_POST,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_C,CONTYDOT,AADT_2024,NOLANES_To,MAXSPEED_M,IsSignaliz,Countermea,Counterme1,Counterme2,LocationID,LocationSt,CrashModif,CostScenar,CostEstima,TotalLives,Crash_Save,Crash_Sav1,Crash_Sav2,Crash_Sav3,Benefit_Al,Benefit_KA,CostPerLif,CrashSavin,CostBenefi,PresentVal,PresentVa1,NetPresent,Intersecti,FDOT Manag,FDOT Count,Intersect1,Intersect2,Entering V,AADT Major,AADT Minor,Signalized,CentralPoi,CentralPo1,Counterme3,Serious In,Intersect3,Match_Stat,Matched_ID,Match_Cnt,Ovl_Ft,Ovl_Mi,Ovl_Pct,Ang_Dif,Min_Ft,QC_Flag,WP_IDs,WP_Count
36328,84041,18120000,0.126,0.252,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR   25,5,SUMTER,41000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-01617,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,5,18,18120000 = .25|18A00230 = .014|18A00247 = .306,BELLA CRUZ DR|NE 134TH AVE|US-27,19000,18120000,18A00230,Y,-81.95685265,28.95171976,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
46211,98006,36100000,15.421,15.513,OCALA,URBAN PRIN ART OTHER,DIVIDED,,SR  200,5,MARION,47000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-00860,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,5,36,36100000 = 15.455|36A01781 = .118|36A16568 = 0,SR-200|SW 34TH AVE,21750,36100000,36A01781,Y,-82.1788151,29.1563449,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
47155,100120,36100000,16.657,16.75,OCALA,URBAN PRIN ART OTHER,DIVIDED,,SR  200,5,MARION,35500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-03294,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,SI,5,36,36100000 = 16.693|36A16742 = .304,SR-200|SW 17TH RD,19250,36100000,36A09209,Y,-82.16471781,29.16938166,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
66524,154533,75010000,6.577,6.656,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,US   17,SR  500,5,ORANGE,54000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-02389,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,5,75,75010000 = 6.586|75A01509 = .367|75A22771 = .007,MORNING DR|S ORANGE BLOSSOM TRL|SUN LIFE PATH,31500,75010000,75A01509,Y,-81.40271982,28.4433786,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
67132,153106,75010000,8.803,10.034,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,US   17,SR  500,5,ORANGE,51500,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-02649,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,5,75,75010000 = 8.892|75A01411 = 0|75A13600 = 1.238,S ORANGE BLOSSOM TRL|WAKULLA WAY,21500,75010000,75A01411,Y,-81.39667992,28.4762,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
67690,156817,75010000,7.237,7.578,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,US   17,SR  500,5,ORANGE,51000,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-01568,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,5,75,75010000 = 7.463|75A00542 = .769|75A01511 = .572,S ORANGE BLOSSOM TRL|SKYVIEW DR|SOUTHLAND BLVD,21000,75010000,75A00542,Y,-81.39927595,28.45576519,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
68473,153353,75002000,4.758,4.79,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,,SR  482,5,ORANGE,38000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04550,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,5,75,75002000 = 4.782|75A00538 = .119|75A01511 = 0,SAND LAKE RD|SKYVIEW DR|SUMMER DAY LN,19500,75002000,75A00538,Y,-81.39793,28.45044028,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
69617,152456,75002000,4.385,4.4,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,,SR  482,5,ORANGE,43000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-01423,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,5,75,75002000 = 4.391|75A14445 = .017,LILLWILL AVE|SAND LAKE RD,20750,75002000,75A08055,Y,-81.40433,28.45034373,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
69676,153893,75003000,6.223,6.548,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,,SR  436,5,ORANGE,54000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-01600,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,5,75,75003000 = 6.357|75A09035 = .864|75A24792 = 0,KALMIA DR|S SEMORAN BLVD,27250,75003000,75A09035,Y,-81.31072444,28.54315,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
74304,160462,75190000,4.78641042891561,4.789,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,,SR  423,5,ORANGE,40000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-02605,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,5,75,75190000 = 4.788|75A17271 = .013,LYNX LN|N JOHN YOUNG PKWY,17000,75190000,75A09512,Y,-81.41625972,28.57528853,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
